KPC_Lv3

 ======== test get_l2 ========= 

2025-11-14 09:48:41,110; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KPC_Lv3_300534063819760_1.txt
2025-11-14 09:48:41,149; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KPC_Lv3_300534063819760_1.txt
2025-11-14 09:48:41,153; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:48:41,259; INFO; pypromice.pipeline.L0toL1; Wind speed correction applied to wspd_u based on factor of 1.7
2025-11-14 09:48:41,261; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:41,358; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:48:41,359; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KPC_Lv3.csv
2025-11-14 09:48:41,370; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KPC_Lv3.csv
2025-11-14 09:48:41,370; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/KPC_Lv3.csv file to read.
2025-11-14 09:48:41,371; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KPC_Lv3.csv
2025-11-14 09:48:41,378; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:48:41,842; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:48:41,964; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:42,261; INFO; pypromice.io.write; Written to L2_test/tx/KPC_Lv3/KPC_Lv3_hour.csv
2025-11-14 09:48:42,261; INFO; pypromice.io.write; Written to L2_test/tx/KPC_Lv3/KPC_Lv3_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:48:42,403; INFO; pypromice.pipeline.join_l2; KPC_Lv3 array loaded from L2_test/tx/KPC_Lv3/KPC_Lv3_hour.nc
2025-11-14 09:48:42,403; INFO; pypromice.pipeline.join_l2; Only one file found L2_test/tx/KPC_Lv3/KPC_Lv3_hour.nc...
2025-11-14 09:48:42,464; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:42,713; INFO; pypromice.io.write; Written to L2_test/level_2/KPC_Lv3/KPC_Lv3_hour.csv
2025-11-14 09:48:42,713; INFO; pypromice.io.write; Written to L2_test/level_2/KPC_Lv3/KPC_Lv3_hour.nc
2025-11-14 09:48:42,714; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/KPC_Lv3...

 ======== test l2tol3 ========= 

2025-11-14 09:48:42,758; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:48:44,378; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:48:44,381; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:48:44,384; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:48:44,402; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KPC_Lv3.csv
2025-11-14 09:48:44,411; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:48:44,411; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:48:44,470; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:48:44,493; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:48:44,514; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:48:44,693; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:48:44,797; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:45,128; INFO; pypromice.io.write; Written to L3_test/stations/KPC_Lv3/KPC_Lv3_hour.csv
2025-11-14 09:48:45,128; INFO; pypromice.io.write; Written to L3_test/stations/KPC_Lv3/KPC_Lv3_hour.nc
2025-11-14 09:48:45,179; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:48:45,261; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:45,367; INFO; pypromice.io.write; Written to L3_test/stations/KPC_Lv3/KPC_Lv3_day.csv
2025-11-14 09:48:45,367; INFO; pypromice.io.write; Written to L3_test/stations/KPC_Lv3/KPC_Lv3_day.nc
2025-11-14 09:48:45,407; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:48:45,487; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:45,574; INFO; pypromice.io.write; Written to L3_test/stations/KPC_Lv3/KPC_Lv3_month.csv
2025-11-14 09:48:45,574; INFO; pypromice.io.write; Written to L3_test/stations/KPC_Lv3/KPC_Lv3_month.nc
