WEG_B

 ======== test get_l2 ========= 

2025-11-14 09:57:58,823; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/WEG_B_300534060529310_1.txt
2025-11-14 09:57:58,899; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_B_300534060529310_1.txt
2025-11-14 09:57:58,907; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/WEG_B_300534063815810_2.txt
2025-11-14 09:57:59,038; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_B_300534063815810_2.txt
2025-11-14 09:57:59,039; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/WEG_B_300234065157600_3.txt
2025-11-14 09:57:59,085; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_B_300234065157600_3.txt
2025-11-14 09:57:59,119; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:58:00,089; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:58:00,091; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv
2025-11-14 09:58:00,091; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv file to read.
2025-11-14 09:58:00,092; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/WEG_B.csv
2025-11-14 09:58:00,093; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/WEG_B.csv file to read.
2025-11-14 09:58:00,094; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv
2025-11-14 09:58:00,094; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/WEG_B.csv file to read.
2025-11-14 09:58:00,876; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:58:00,967; INFO; pypromice.io.write; Writing to files...
