WEG_L

 ======== test get_l2 ========= 

2025-11-14 09:59:06,548; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/WEG_L_300534063815570_1.txt
2025-11-14 09:59:06,617; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_L_300534063815570_1.txt
2025-11-14 09:59:06,618; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/WEG_L_300534063815570_2.txt
2025-11-14 09:59:06,692; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_L_300534063815570_2.txt
2025-11-14 09:59:06,702; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:59:06,824; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:07,035; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:07,181; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:59:07,183; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_L.csv
2025-11-14 09:59:07,187; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/WEG_L.csv
2025-11-14 09:59:07,215; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_L.csv
2025-11-14 09:59:07,239; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:59:07,781; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:07,850; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:08,556; INFO; pypromice.io.write; Written to L2_test/tx/WEG_L/WEG_L_hour.csv
2025-11-14 09:59:08,556; INFO; pypromice.io.write; Written to L2_test/tx/WEG_L/WEG_L_hour.nc
2025-11-14 09:59:09,128; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/WEG_L/WEG_L_2024_raw.txt
2025-11-14 09:59:09,154; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/WEG_L/WEG_L_2024_raw.txt
2025-11-14 09:59:09,194; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from WEG_L_2024_raw.txt
2025-11-14 09:59:09,201; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:59:09,277; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:09,392; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:59:09,394; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_L.csv
2025-11-14 09:59:09,397; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/WEG_L.csv
2025-11-14 09:59:09,423; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_L.csv
2025-11-14 09:59:09,448; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:59:09,902; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:59:09,975; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:10,152; INFO; pypromice.io.write; Written to L2_test/raw/WEG_L/WEG_L_10min.csv
2025-11-14 09:59:10,152; INFO; pypromice.io.write; Written to L2_test/raw/WEG_L/WEG_L_10min.nc
2025-11-14 09:59:10,260; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:10,319; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:10,400; INFO; pypromice.io.write; Written to L2_test/raw/WEG_L/WEG_L_hour.csv
2025-11-14 09:59:10,400; INFO; pypromice.io.write; Written to L2_test/raw/WEG_L/WEG_L_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:59:10,563; INFO; pypromice.pipeline.join_l2; WEG_L array loaded from L2_test/raw/WEG_L/WEG_L_hour.nc
2025-11-14 09:59:10,603; INFO; pypromice.pipeline.join_l2; WEG_L array loaded from L2_test/tx/WEG_L/WEG_L_hour.nc
2025-11-14 09:59:10,603; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/WEG_L/WEG_L_hour.nc with L2_test/tx/WEG_L/WEG_L_hour.nc...
2025-11-14 09:59:10,748; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:11,451; INFO; pypromice.io.write; Written to L2_test/level_2/WEG_L/WEG_L_hour.csv
2025-11-14 09:59:11,451; INFO; pypromice.io.write; Written to L2_test/level_2/WEG_L/WEG_L_hour.nc
2025-11-14 09:59:11,452; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/WEG_L...

 ======== test l2tol3 ========= 

2025-11-14 09:59:11,495; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:59:13,252; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:59:13,257; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:59:13,261; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:59:13,282; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_L.csv
2025-11-14 09:59:13,299; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:59:13,299; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:59:13,459; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:59:13,490; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:59:13,516; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:59:14,056; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:14,150; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:15,000; INFO; pypromice.io.write; Written to L3_test/stations/WEG_L/WEG_L_hour.csv
2025-11-14 09:59:15,000; INFO; pypromice.io.write; Written to L3_test/stations/WEG_L/WEG_L_hour.nc
2025-11-14 09:59:15,064; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:59:15,141; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:15,242; INFO; pypromice.io.write; Written to L3_test/stations/WEG_L/WEG_L_day.csv
2025-11-14 09:59:15,243; INFO; pypromice.io.write; Written to L3_test/stations/WEG_L/WEG_L_day.nc
2025-11-14 09:59:15,307; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:59:15,382; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:15,448; INFO; pypromice.io.write; Written to L3_test/stations/WEG_L/WEG_L_month.csv
2025-11-14 09:59:15,448; INFO; pypromice.io.write; Written to L3_test/stations/WEG_L/WEG_L_month.nc
