UPE_L

 ======== test get_l2 ========= 

2025-11-14 09:57:58,329; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/UPE_L_300234061478500_1.txt
2025-11-14 09:57:58,398; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_L_300234061478500_1.txt
2025-11-14 09:57:58,404; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:57:58,548; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:58,670; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:57:58,671; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/UPE_L.csv
2025-11-14 09:57:58,675; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/UPE_L.csv
2025-11-14 09:57:58,725; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/UPE_L.csv
2025-11-14 09:57:58,756; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:57:58,757; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:57:58,757; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:58:00,659; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:58:00,761; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:01,341; INFO; pypromice.io.write; Written to L2_test/tx/UPE_L/UPE_L_hour.csv
2025-11-14 09:58:01,341; INFO; pypromice.io.write; Written to L2_test/tx/UPE_L/UPE_L_hour.nc
2025-11-14 09:58:01,558; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2011_raw.txt
2025-11-14 09:58:01,810; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2011_raw.txt
2025-11-14 09:58:02,463; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_L_2011_raw.txt
2025-11-14 09:58:02,475; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2012_raw.txt
2025-11-14 09:58:02,650; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2012_raw.txt
2025-11-14 09:58:02,980; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_L_2012_raw.txt
2025-11-14 09:58:02,986; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2013_raw_modtilt.csv
2025-11-14 09:58:03,081; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2013_raw_modtilt.csv
2025-11-14 09:58:03,286; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_L_2013_raw_modtilt.csv
2025-11-14 09:58:03,297; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2015_raw.txt
2025-11-14 09:58:03,611; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2015_raw.txt
2025-11-14 09:58:04,293; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_L_2015_raw.txt
2025-11-14 09:58:04,299; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2017_raw.txt
2025-11-14 09:58:04,569; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2017_raw.txt
2025-11-14 09:58:05,234; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_L_2017_raw.txt
2025-11-14 09:58:05,240; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2018_raw.txt
2025-11-14 09:58:05,339; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2018_raw.txt
2025-11-14 09:58:05,556; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_L_2018_raw.txt
2025-11-14 09:58:05,568; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2020_raw.txt
2025-11-14 09:58:05,825; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2020_raw.txt
2025-11-14 09:58:06,409; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_L_2020_raw.txt
2025-11-14 09:58:06,416; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2023_raw.txt
2025-11-14 09:58:06,728; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/UPE_L/UPE_L_2023_raw.txt
2025-11-14 09:58:07,624; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from UPE_L_2023_raw.txt
2025-11-14 09:58:07,669; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:58:07,845; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:08,268; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:08,615; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:09,259; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:09,923; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:10,334; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:11,009; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:11,967; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:58:14,162; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:58:14,193; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/UPE_L.csv
2025-11-14 09:58:14,222; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/UPE_L.csv
2025-11-14 09:58:14,332; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/UPE_L.csv
2025-11-14 09:58:14,377; INFO; pypromice.core.qc.github_data_issues; ---> 2025-01-01 00:00:00 None ulr max_filter 330.0
2025-11-14 09:58:14,377; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:58:14,382; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:58:14,382; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:58:14,382; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:58:19,801; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:58:20,384; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:37,279; INFO; pypromice.io.write; Written to L2_test/raw/UPE_L/UPE_L_10min.csv
2025-11-14 09:58:37,279; INFO; pypromice.io.write; Written to L2_test/raw/UPE_L/UPE_L_10min.nc
2025-11-14 09:58:38,659; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:58:38,780; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:42,023; INFO; pypromice.io.write; Written to L2_test/raw/UPE_L/UPE_L_hour.csv
2025-11-14 09:58:42,023; INFO; pypromice.io.write; Written to L2_test/raw/UPE_L/UPE_L_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:58:42,155; INFO; pypromice.pipeline.join_l2; UPE_L array loaded from L2_test/raw/UPE_L/UPE_L_hour.nc
2025-11-14 09:58:42,184; INFO; pypromice.pipeline.join_l2; UPE_L array loaded from L2_test/tx/UPE_L/UPE_L_hour.nc
2025-11-14 09:58:42,184; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/UPE_L/UPE_L_hour.nc with L2_test/tx/UPE_L/UPE_L_hour.nc...
2025-11-14 09:58:42,377; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:58:45,990; INFO; pypromice.io.write; Written to L2_test/level_2/UPE_L/UPE_L_hour.csv
2025-11-14 09:58:45,990; INFO; pypromice.io.write; Written to L2_test/level_2/UPE_L/UPE_L_hour.nc
2025-11-14 09:58:45,990; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/UPE_L...

 ======== test l2tol3 ========= 

