KAN_L

 ======== test get_l2 ========= 

2025-11-14 09:47:12,161; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_L_300234061293280_1.txt
2025-11-14 09:47:12,231; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_300234061293280_1.txt
2025-11-14 09:47:12,237; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:12,365; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:12,467; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:12,468; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_L.csv
2025-11-14 09:47:12,479; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_L.csv
2025-11-14 09:47:12,534; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_L.csv
2025-11-14 09:47:12,548; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:47:12,548; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:14,262; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:14,370; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:14,875; INFO; pypromice.io.write; Written to L2_test/tx/KAN_L/KAN_L_hour.csv
2025-11-14 09:47:14,876; INFO; pypromice.io.write; Written to L2_test/tx/KAN_L/KAN_L_hour.nc
2025-11-14 09:47:15,083; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2009_1_raw.txt
2025-11-14 09:47:15,316; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2009_1_raw.txt
2025-11-14 09:47:16,603; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2009_2_raw.txt
2025-11-14 09:47:16,660; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2009_2_raw.txt
2025-11-14 09:47:16,792; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2009_2_raw.txt
2025-11-14 09:47:16,798; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2010_1_raw.txt
2025-11-14 09:47:16,898; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2010_1_raw.txt
2025-11-14 09:47:17,096; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2010_1_raw.txt
2025-11-14 09:47:17,108; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2010_2_raw.txt
2025-11-14 09:47:17,109; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2010_2_raw.txt
2025-11-14 09:47:17,122; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2010_2_raw.txt
2025-11-14 09:47:17,131; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2011_raw.txt
2025-11-14 09:47:17,283; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2011_raw.txt
2025-11-14 09:47:17,600; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2011_raw.txt
2025-11-14 09:47:17,608; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2012_1_raw.txt
2025-11-14 09:47:17,747; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2012_1_raw.txt
2025-11-14 09:47:18,011; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2012_1_raw.txt
2025-11-14 09:47:18,671; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2012_2_raw.txt
2025-11-14 09:47:18,699; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2012_2_raw.txt
2025-11-14 09:47:18,763; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2012_2_raw.txt
2025-11-14 09:47:18,778; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2013_raw.txt
2025-11-14 09:47:18,879; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2013_raw.txt
2025-11-14 09:47:19,071; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2013_raw.txt
2025-11-14 09:47:19,079; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2014_raw.txt
2025-11-14 09:47:19,252; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2014_raw.txt
2025-11-14 09:47:19,577; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2014_raw.txt
2025-11-14 09:47:19,582; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2015_1_raw.txt
2025-11-14 09:47:19,687; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2015_1_raw.txt
2025-11-14 09:47:19,897; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2015_1_raw.txt
2025-11-14 09:47:20,869; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2015_2_raw.txt
2025-11-14 09:47:20,908; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2015_2_raw.txt
2025-11-14 09:47:21,021; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2015_2_raw.txt
2025-11-14 09:47:21,027; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2016_raw.txt
2025-11-14 09:47:21,154; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_L/KAN_L_2016_raw.txt
2025-11-14 09:47:21,451; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_L_2016_raw.txt
