TAS_Av3

 ======== test get_l2 ========= 

2025-11-14 09:56:08,235; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/TAS_Av3_300534064381670_1.txt
2025-11-14 09:56:08,325; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_Av3_300534064381670_1.txt
2025-11-14 09:56:08,325; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/TAS_Av3_300534064381670_2.txt
2025-11-14 09:56:08,354; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_Av3_300534064381670_2.txt
2025-11-14 09:56:08,365; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:08,521; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:08,781; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:08,971; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:56:08,977; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_Av3.csv
2025-11-14 09:56:08,983; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/TAS_Av3.csv
2025-11-14 09:56:09,031; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_Av3.csv
2025-11-14 09:56:09,533; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:09,598; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:09,994; INFO; pypromice.io.write; Written to L2_test/tx/TAS_Av3/TAS_Av3_hour.csv
2025-11-14 09:56:09,994; INFO; pypromice.io.write; Written to L2_test/tx/TAS_Av3/TAS_Av3_hour.nc
2025-11-14 09:56:10,228; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_Av3/TAS_Av3_2025_raw.txt
2025-11-14 09:56:10,315; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/TAS_Av3/TAS_Av3_2025_raw.txt
2025-11-14 09:56:10,521; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from TAS_Av3_2025_raw.txt
2025-11-14 09:56:10,526; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:10,634; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:10,736; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:56:10,739; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_Av3.csv
2025-11-14 09:56:10,743; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/TAS_Av3.csv
2025-11-14 09:56:10,779; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/TAS_Av3.csv
2025-11-14 09:56:11,510; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:56:11,600; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:12,678; INFO; pypromice.io.write; Written to L2_test/raw/TAS_Av3/TAS_Av3_10min.csv
2025-11-14 09:56:12,678; INFO; pypromice.io.write; Written to L2_test/raw/TAS_Av3/TAS_Av3_10min.nc
2025-11-14 09:56:12,880; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:12,942; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:13,188; INFO; pypromice.io.write; Written to L2_test/raw/TAS_Av3/TAS_Av3_hour.csv
