KAN_Lv3

 ======== test get_l2 ========= 

2025-11-14 09:47:12,395; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_Lv3_300534062581000_1.txt
2025-11-14 09:47:12,506; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_Lv3_300534062581000_1.txt
2025-11-14 09:47:12,516; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_Lv3_300534062581000_2.txt
2025-11-14 09:47:12,602; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_Lv3_300534062581000_2.txt
2025-11-14 09:47:12,603; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_Lv3_300534062581000_3.txt
2025-11-14 09:47:12,628; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_Lv3_300534062581000_3.txt
2025-11-14 09:47:12,641; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:12,779; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:13,003; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:13,193; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:13,373; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:13,375; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Lv3.csv
2025-11-14 09:47:13,382; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_Lv3.csv
2025-11-14 09:47:13,395; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Lv3.csv
2025-11-14 09:47:13,406; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:47:13,406; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:13,950; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:14,034; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:14,753; INFO; pypromice.io.write; Written to L2_test/tx/KAN_Lv3/KAN_Lv3_hour.csv
2025-11-14 09:47:14,753; INFO; pypromice.io.write; Written to L2_test/tx/KAN_Lv3/KAN_Lv3_hour.nc
2025-11-14 09:47:14,955; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_Lv3/KAN_Lv3_2024_raw.txt
2025-11-14 09:47:15,056; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_Lv3/KAN_Lv3_2024_raw.txt
2025-11-14 09:47:15,284; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_Lv3_2024_raw.txt
2025-11-14 09:47:15,291; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_Lv3/KAN_Lv3_2025_DataTable10min.dat
2025-11-14 09:47:15,402; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_Lv3/KAN_Lv3_2025_DataTable10min.dat
2025-11-14 09:47:15,592; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_Lv3_2025_DataTable10min.dat
2025-11-14 09:47:15,601; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:15,701; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:15,895; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:16,083; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:16,087; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Lv3.csv
2025-11-14 09:47:16,093; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_Lv3.csv
2025-11-14 09:47:16,102; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Lv3.csv
2025-11-14 09:47:16,114; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:47:16,114; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:17,054; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:47:17,173; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:19,799; INFO; pypromice.io.write; Written to L2_test/raw/KAN_Lv3/KAN_Lv3_10min.csv
2025-11-14 09:47:19,799; INFO; pypromice.io.write; Written to L2_test/raw/KAN_Lv3/KAN_Lv3_10min.nc
2025-11-14 09:47:20,097; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:20,163; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:20,681; INFO; pypromice.io.write; Written to L2_test/raw/KAN_Lv3/KAN_Lv3_hour.csv
2025-11-14 09:47:20,681; INFO; pypromice.io.write; Written to L2_test/raw/KAN_Lv3/KAN_Lv3_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:47:20,814; INFO; pypromice.pipeline.join_l2; KAN_Lv3 array loaded from L2_test/raw/KAN_Lv3/KAN_Lv3_hour.nc
2025-11-14 09:47:20,842; INFO; pypromice.pipeline.join_l2; KAN_Lv3 array loaded from L2_test/tx/KAN_Lv3/KAN_Lv3_hour.nc
2025-11-14 09:47:20,842; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/KAN_Lv3/KAN_Lv3_hour.nc with L2_test/tx/KAN_Lv3/KAN_Lv3_hour.nc...
2025-11-14 09:47:20,927; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:21,576; INFO; pypromice.io.write; Written to L2_test/level_2/KAN_Lv3/KAN_Lv3_hour.csv
2025-11-14 09:47:21,576; INFO; pypromice.io.write; Written to L2_test/level_2/KAN_Lv3/KAN_Lv3_hour.nc
2025-11-14 09:47:21,576; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/KAN_Lv3...

 ======== test l2tol3 ========= 

2025-11-14 09:47:21,616; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:47:22,507; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:47:22,511; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:47:22,514; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:47:22,530; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Lv3.csv
2025-11-14 09:47:22,541; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:47:22,541; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:47:22,661; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:47:22,688; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:47:22,709; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:47:24,734; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:24,825; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:25,510; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Lv3/KAN_Lv3_hour.csv
2025-11-14 09:47:25,510; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Lv3/KAN_Lv3_hour.nc
2025-11-14 09:47:25,564; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:47:25,642; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:25,729; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Lv3/KAN_Lv3_day.csv
2025-11-14 09:47:25,729; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Lv3/KAN_Lv3_day.nc
2025-11-14 09:47:25,811; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:47:25,889; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:25,944; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Lv3/KAN_Lv3_month.csv
2025-11-14 09:47:25,944; INFO; pypromice.io.write; Written to L3_test/stations/KAN_Lv3/KAN_Lv3_month.nc
