RED_Lv3

 ======== test get_l2 ========= 

2025-11-14 09:55:01,183; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/RED_Lv3_300234066318240_1.txt
2025-11-14 09:55:01,290; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from RED_Lv3_300234066318240_1.txt
2025-11-14 09:55:01,295; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:55:01,421; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:55:01,520; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:55:01,522; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/RED_Lv3.csv
2025-11-14 09:55:01,525; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/RED_Lv3.csv
2025-11-14 09:55:01,537; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/RED_Lv3.csv
2025-11-14 09:55:02,076; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:55:02,184; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:02,661; INFO; pypromice.io.write; Written to L2_test/tx/RED_Lv3/RED_Lv3_hour.csv
2025-11-14 09:55:02,662; INFO; pypromice.io.write; Written to L2_test/tx/RED_Lv3/RED_Lv3_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:55:02,787; INFO; pypromice.pipeline.join_l2; RED_Lv3 array loaded from L2_test/tx/RED_Lv3/RED_Lv3_hour.nc
2025-11-14 09:55:02,787; INFO; pypromice.pipeline.join_l2; Only one file found L2_test/tx/RED_Lv3/RED_Lv3_hour.nc...
2025-11-14 09:55:02,852; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:03,271; INFO; pypromice.io.write; Written to L2_test/level_2/RED_Lv3/RED_Lv3_hour.csv
2025-11-14 09:55:03,271; INFO; pypromice.io.write; Written to L2_test/level_2/RED_Lv3/RED_Lv3_hour.nc
2025-11-14 09:55:03,271; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/RED_Lv3...

 ======== test l2tol3 ========= 

2025-11-14 09:55:03,328; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:55:05,207; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:55:05,210; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:55:05,213; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:55:05,229; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/RED_Lv3.csv
2025-11-14 09:55:05,236; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:55:05,236; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:55:05,302; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:55:05,325; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:55:05,329; INFO; pypromice.pipeline.L2toL3; No maintenance at RED_Lv3
2025-11-14 09:55:05,337; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:55:06,781; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:55:06,868; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:07,344; INFO; pypromice.io.write; Written to L3_test/stations/RED_Lv3/RED_Lv3_hour.csv
2025-11-14 09:55:07,344; INFO; pypromice.io.write; Written to L3_test/stations/RED_Lv3/RED_Lv3_hour.nc
2025-11-14 09:55:07,395; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:55:07,473; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:07,570; INFO; pypromice.io.write; Written to L3_test/stations/RED_Lv3/RED_Lv3_day.csv
2025-11-14 09:55:07,570; INFO; pypromice.io.write; Written to L3_test/stations/RED_Lv3/RED_Lv3_day.nc
2025-11-14 09:55:07,621; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:55:07,698; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:07,770; INFO; pypromice.io.write; Written to L3_test/stations/RED_Lv3/RED_Lv3_month.csv
2025-11-14 09:55:07,771; INFO; pypromice.io.write; Written to L3_test/stations/RED_Lv3/RED_Lv3_month.nc
