SWC

 ======== test get_l2 ========= 

2025-11-14 09:56:07,964; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/SWC_300534060524310_1.txt
2025-11-14 09:56:08,102; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SWC_300534060524310_1.txt
2025-11-14 09:56:08,109; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:08,263; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:08,410; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:56:08,412; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC.csv
2025-11-14 09:56:08,415; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SWC.csv
2025-11-14 09:56:08,415; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/SWC.csv file to read.
2025-11-14 09:56:08,417; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC.csv
2025-11-14 09:56:09,138; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:09,266; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:10,106; INFO; pypromice.io.write; Written to L2_test/tx/SWC/SWC_hour.csv
2025-11-14 09:56:10,106; INFO; pypromice.io.write; Written to L2_test/tx/SWC/SWC_hour.nc
2025-11-14 09:56:10,312; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SWC/SWC_2022_raw.dat
2025-11-14 09:56:10,537; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SWC/SWC_2022_raw.dat
2025-11-14 09:56:11,066; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SWC_2022_raw.dat
2025-11-14 09:56:11,075; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:11,185; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:11,288; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:56:11,295; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC.csv
2025-11-14 09:56:11,325; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SWC.csv
2025-11-14 09:56:11,325; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/flags/SWC.csv file to read.
2025-11-14 09:56:11,331; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC.csv
2025-11-14 09:56:12,284; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:56:12,390; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:15,582; INFO; pypromice.io.write; Written to L2_test/raw/SWC/SWC_10min.csv
2025-11-14 09:56:15,582; INFO; pypromice.io.write; Written to L2_test/raw/SWC/SWC_10min.nc
2025-11-14 09:56:15,958; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:16,023; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:16,514; INFO; pypromice.io.write; Written to L2_test/raw/SWC/SWC_hour.csv
2025-11-14 09:56:16,514; INFO; pypromice.io.write; Written to L2_test/raw/SWC/SWC_hour.nc

 ======== test join_l2 ========= 

