NUK_N

 ======== test get_l2 ========= 

2025-11-14 09:52:35,458; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/NUK_N/NUK_N_2010_raw_transmitted.txt
2025-11-14 09:52:35,484; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_N_2010_raw_transmitted.txt
2025-11-14 09:52:36,343; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2011_raw_logger.txt
2025-11-14 09:52:36,387; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2011_raw_logger.txt
2025-11-14 09:52:36,534; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_N_2011_raw_logger.txt
2025-11-14 09:52:37,418; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2011_raw_SDcard.txt
2025-11-14 09:52:37,475; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2011_raw_SDcard.txt
2025-11-14 09:52:37,594; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_N_2011_raw_SDcard.txt
2025-11-14 09:52:37,600; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/NUK_N/NUK_N_2011_raw_transmitted.txt
2025-11-14 09:52:37,617; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_N_2011_raw_transmitted.txt
2025-11-14 09:52:38,992; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2012_raw.txt
2025-11-14 09:52:39,071; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2012_raw.txt
2025-11-14 09:52:39,240; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_N_2012_raw.txt
2025-11-14 09:52:39,247; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/NUK_N/NUK_N_2012_raw_transmitted.txt
2025-11-14 09:52:39,276; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_N_2012_raw_transmitted.txt
2025-11-14 09:52:39,282; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2013_raw.txt
2025-11-14 09:52:39,460; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2013_raw.txt
2025-11-14 09:52:39,802; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_N_2013_raw.txt
2025-11-14 09:52:39,810; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2014_raw.txt
2025-11-14 09:52:40,014; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_N/NUK_N_2014_raw.txt
2025-11-14 09:52:40,370; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_N_2014_raw.txt
2025-11-14 09:52:40,416; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:52:40,525; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:40,744; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:40,998; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:41,169; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:41,432; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:41,602; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:41,977; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:42,416; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:43,068; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:52:43,076; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_N.csv
2025-11-14 09:52:43,086; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NUK_N.csv
2025-11-14 09:52:43,131; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_N.csv
2025-11-14 09:52:43,158; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:52:43,158; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:52:44,457; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:52:44,654; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:48,119; INFO; pypromice.io.write; Written to L2_test/raw/NUK_N/NUK_N_10min.csv
2025-11-14 09:52:48,119; INFO; pypromice.io.write; Written to L2_test/raw/NUK_N/NUK_N_10min.nc
2025-11-14 09:52:48,753; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:52:48,828; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:49,755; INFO; pypromice.io.write; Written to L2_test/raw/NUK_N/NUK_N_hour.csv
2025-11-14 09:52:49,755; INFO; pypromice.io.write; Written to L2_test/raw/NUK_N/NUK_N_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:52:49,901; INFO; pypromice.pipeline.join_l2; NUK_N array loaded from L2_test/raw/NUK_N/NUK_N_hour.nc
2025-11-14 09:52:49,901; INFO; pypromice.pipeline.join_l2; Only one file found L2_test/raw/NUK_N/NUK_N_hour.nc...
2025-11-14 09:52:49,975; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:50,874; INFO; pypromice.io.write; Written to L2_test/level_2/NUK_N/NUK_N_hour.csv
2025-11-14 09:52:50,874; INFO; pypromice.io.write; Written to L2_test/level_2/NUK_N/NUK_N_hour.nc
2025-11-14 09:52:50,874; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/NUK_N...

 ======== test l2tol3 ========= 

2025-11-14 09:52:50,914; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:52:52,842; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2013-07-24T15:00:00
2025-11-14 09:52:52,850; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2013-07-24T15:00:00
2025-11-14 09:52:52,858; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2013-07-24T15:00:00
2025-11-14 09:52:52,884; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_N.csv
2025-11-14 09:52:52,909; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:52:52,909; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:52:53,113; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:52:53,148; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:52:53,171; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:52:56,025; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:52:56,129; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:57,188; INFO; pypromice.io.write; Written to L3_test/stations/NUK_N/NUK_N_hour.csv
2025-11-14 09:52:57,188; INFO; pypromice.io.write; Written to L3_test/stations/NUK_N/NUK_N_hour.nc
2025-11-14 09:52:57,266; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:52:57,348; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:57,444; INFO; pypromice.io.write; Written to L3_test/stations/NUK_N/NUK_N_day.csv
2025-11-14 09:52:57,444; INFO; pypromice.io.write; Written to L3_test/stations/NUK_N/NUK_N_day.nc
2025-11-14 09:52:57,533; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:52:57,610; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:57,662; INFO; pypromice.io.write; Written to L3_test/stations/NUK_N/NUK_N_month.csv
2025-11-14 09:52:57,662; INFO; pypromice.io.write; Written to L3_test/stations/NUK_N/NUK_N_month.nc
