JAR_O

 ======== test get_l2 ========= 

2025-11-14 09:47:12,780; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/JAR_O_300534063814490_1.txt
2025-11-14 09:47:12,881; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from JAR_O_300534063814490_1.txt
2025-11-14 09:47:12,894; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/JAR_O_300534063814490_2.txt
2025-11-14 09:47:12,991; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from JAR_O_300534063814490_2.txt
2025-11-14 09:47:12,992; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/JAR_O_300534063814490_3.txt
2025-11-14 09:47:13,024; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from JAR_O_300534063814490_3.txt
2025-11-14 09:47:13,042; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:13,196; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:13,423; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:13,679; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:13,831; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:13,833; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR_O.csv
2025-11-14 09:47:13,851; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/JAR_O.csv
2025-11-14 09:47:13,889; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR_O.csv
2025-11-14 09:47:13,920; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:47:13,920; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:14,576; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:14,646; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:15,324; INFO; pypromice.io.write; Written to L2_test/tx/JAR_O/JAR_O_hour.csv
2025-11-14 09:47:15,324; INFO; pypromice.io.write; Written to L2_test/tx/JAR_O/JAR_O_hour.nc
2025-11-14 09:47:15,529; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/JAR_O/JAR_O_2023_raw.txt
2025-11-14 09:47:15,630; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/JAR_O/JAR_O_2023_raw.txt
2025-11-14 09:47:15,879; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from JAR_O_2023_raw.txt
