DY2

 ======== test get_l2 ========= 

2025-11-14 09:46:20,389; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/DY2_300534063811780_1.txt
2025-11-14 09:46:20,503; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from DY2_300534063811780_1.txt
2025-11-14 09:46:20,508; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:46:20,836; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:21,001; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:46:21,003; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/DY2.csv
2025-11-14 09:46:21,013; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/DY2.csv
2025-11-14 09:46:21,047; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/DY2.csv
2025-11-14 09:46:21,084; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:46:21,084; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:46:21,971; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:46:22,058; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:22,984; INFO; pypromice.io.write; Written to L2_test/tx/DY2/DY2_hour.csv
2025-11-14 09:46:22,984; INFO; pypromice.io.write; Written to L2_test/tx/DY2/DY2_hour.nc
2025-11-14 09:46:23,193; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/DY2/DY2_2023_raw.txt
2025-11-14 09:46:23,308; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/DY2/DY2_2023_raw.txt
2025-11-14 09:46:23,559; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from DY2_2023_raw.txt
2025-11-14 09:46:23,562; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/DY2/DY2_2024_raw.txt
2025-11-14 09:46:23,647; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/DY2/DY2_2024_raw.txt
2025-11-14 09:46:23,861; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from DY2_2024_raw.txt
2025-11-14 09:46:23,864; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/DY2/DY2_2025_raw.txt
2025-11-14 09:46:23,956; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/DY2/DY2_2025_raw.txt
2025-11-14 09:46:24,203; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from DY2_2025_raw.txt
2025-11-14 09:46:24,219; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:46:24,336; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:24,549; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:24,776; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:25,157; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:46:25,164; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/DY2.csv
2025-11-14 09:46:25,173; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/DY2.csv
2025-11-14 09:46:25,204; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/DY2.csv
2025-11-14 09:46:25,228; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:46:25,228; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:46:27,613; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:46:27,794; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:33,257; INFO; pypromice.io.write; Written to L2_test/raw/DY2/DY2_10min.csv
2025-11-14 09:46:33,257; INFO; pypromice.io.write; Written to L2_test/raw/DY2/DY2_10min.nc
2025-11-14 09:46:33,958; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:46:34,045; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:35,128; INFO; pypromice.io.write; Written to L2_test/raw/DY2/DY2_hour.csv
2025-11-14 09:46:35,129; INFO; pypromice.io.write; Written to L2_test/raw/DY2/DY2_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:46:35,270; INFO; pypromice.pipeline.join_l2; DY2 array loaded from L2_test/raw/DY2/DY2_hour.nc
2025-11-14 09:46:35,302; INFO; pypromice.pipeline.join_l2; DY2 array loaded from L2_test/tx/DY2/DY2_hour.nc
2025-11-14 09:46:35,302; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/DY2/DY2_hour.nc with L2_test/tx/DY2/DY2_hour.nc...
2025-11-14 09:46:35,427; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:36,628; INFO; pypromice.io.write; Written to L2_test/level_2/DY2/DY2_hour.csv
2025-11-14 09:46:36,628; INFO; pypromice.io.write; Written to L2_test/level_2/DY2/DY2_hour.nc
2025-11-14 09:46:36,628; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/DY2...

 ======== test l2tol3 ========= 

2025-11-14 09:46:36,672; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:46:40,404; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:46:40,409; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:46:40,413; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:46:40,435; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/DY2.csv
2025-11-14 09:46:40,455; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:46:40,455; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:46:40,455; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2025-11-14 09:46:40,512; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:46:40,550; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:46:45,182; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:46:45,308; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:46,436; INFO; pypromice.io.write; Written to L3_test/stations/DY2/DY2_hour.csv
2025-11-14 09:46:46,436; INFO; pypromice.io.write; Written to L3_test/stations/DY2/DY2_hour.nc
2025-11-14 09:46:46,559; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:46:46,662; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:46,778; INFO; pypromice.io.write; Written to L3_test/stations/DY2/DY2_day.csv
2025-11-14 09:46:46,778; INFO; pypromice.io.write; Written to L3_test/stations/DY2/DY2_day.nc
2025-11-14 09:46:46,864; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:46:46,965; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:47,034; INFO; pypromice.io.write; Written to L3_test/stations/DY2/DY2_month.csv
2025-11-14 09:46:47,034; INFO; pypromice.io.write; Written to L3_test/stations/DY2/DY2_month.nc
