KAN_Tv3

 ======== test get_l2 ========= 

2025-11-14 09:48:41,283; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_Tv3_300534064383800_1.txt
2025-11-14 09:48:41,372; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_Tv3_300534064383800_1.txt
2025-11-14 09:48:41,373; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/KAN_Tv3_300534064383800_2.txt
2025-11-14 09:48:41,401; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_Tv3_300534064383800_2.txt
2025-11-14 09:48:41,412; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:48:41,552; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:41,807; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:41,922; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:48:41,923; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Tv3.csv
2025-11-14 09:48:41,929; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_Tv3.csv
2025-11-14 09:48:41,939; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Tv3.csv
2025-11-14 09:48:41,951; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:48:42,673; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:48:42,772; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:43,276; INFO; pypromice.io.write; Written to L2_test/tx/KAN_Tv3/KAN_Tv3_hour.csv
2025-11-14 09:48:43,276; INFO; pypromice.io.write; Written to L2_test/tx/KAN_Tv3/KAN_Tv3_hour.nc
2025-11-14 09:48:44,202; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_Tv3/KAN_Tv3_2024_raw.txt
2025-11-14 09:48:44,235; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_Tv3/KAN_Tv3_2024_raw.txt
2025-11-14 09:48:44,344; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_Tv3_2024_raw.txt
2025-11-14 09:48:44,351; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_Tv3/KAN_Tv3_2025_DataTable10min.dat
2025-11-14 09:48:44,521; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/KAN_Tv3/KAN_Tv3_2025_DataTable10min.dat
2025-11-14 09:48:44,828; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from KAN_Tv3_2025_DataTable10min.dat
2025-11-14 09:48:44,837; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:48:44,908; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:45,103; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:48:45,223; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:48:45,226; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Tv3.csv
2025-11-14 09:48:45,236; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/KAN_Tv3.csv
2025-11-14 09:48:45,247; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/KAN_Tv3.csv
2025-11-14 09:48:45,261; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:48:45,995; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:48:46,081; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:47,659; INFO; pypromice.io.write; Written to L2_test/raw/KAN_Tv3/KAN_Tv3_10min.csv
2025-11-14 09:48:47,659; INFO; pypromice.io.write; Written to L2_test/raw/KAN_Tv3/KAN_Tv3_10min.nc
2025-11-14 09:48:47,895; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:48:47,957; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:48:48,350; INFO; pypromice.io.write; Written to L2_test/raw/KAN_Tv3/KAN_Tv3_hour.csv
