LYN_L

 ======== test get_l2 ========= 

2025-11-14 09:50:16,370; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/LYN_L_300234065156620_1.txt
2025-11-14 09:50:16,480; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from LYN_L_300234065156620_1.txt
2025-11-14 09:50:16,486; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:50:16,646; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:16,773; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:50:16,775; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_L.csv
2025-11-14 09:50:16,784; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/LYN_L.csv
2025-11-14 09:50:16,807; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_L.csv
2025-11-14 09:50:18,855; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:50:18,944; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:19,738; INFO; pypromice.io.write; Written to L2_test/tx/LYN_L/LYN_L_hour.csv
2025-11-14 09:50:19,738; INFO; pypromice.io.write; Written to L2_test/tx/LYN_L/LYN_L_hour.nc
2025-11-14 09:50:19,945; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/LYN_L/LYN_L_2019_2022_raw.dat
2025-11-14 09:50:20,277; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/LYN_L/LYN_L_2019_2022_raw.dat
2025-11-14 09:50:21,161; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from LYN_L_2019_2022_raw.dat
2025-11-14 09:50:21,165; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/LYN_L/LYN_L_2022_2025_raw.dat
2025-11-14 09:50:21,471; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/LYN_L/LYN_L_2022_2025_raw.dat
2025-11-14 09:50:22,302; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from LYN_L_2022_2025_raw.dat
2025-11-14 09:50:22,315; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:50:23,260; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:24,253; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:50:24,660; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:50:24,672; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_L.csv
2025-11-14 09:50:24,689; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/LYN_L.csv
2025-11-14 09:50:24,725; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_L.csv
2025-11-14 09:50:26,836; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:50:27,075; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:33,530; INFO; pypromice.io.write; Written to L2_test/raw/LYN_L/LYN_L_10min.csv
2025-11-14 09:50:33,531; INFO; pypromice.io.write; Written to L2_test/raw/LYN_L/LYN_L_10min.nc
2025-11-14 09:50:34,267; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:50:34,353; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:35,864; INFO; pypromice.io.write; Written to L2_test/raw/LYN_L/LYN_L_hour.csv
2025-11-14 09:50:35,864; INFO; pypromice.io.write; Written to L2_test/raw/LYN_L/LYN_L_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:50:35,998; INFO; pypromice.pipeline.join_l2; LYN_L array loaded from L2_test/raw/LYN_L/LYN_L_hour.nc
2025-11-14 09:50:36,029; INFO; pypromice.pipeline.join_l2; LYN_L array loaded from L2_test/tx/LYN_L/LYN_L_hour.nc
2025-11-14 09:50:36,029; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/LYN_L/LYN_L_hour.nc with L2_test/tx/LYN_L/LYN_L_hour.nc...
2025-11-14 09:50:36,151; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:37,616; INFO; pypromice.io.write; Written to L2_test/level_2/LYN_L/LYN_L_hour.csv
2025-11-14 09:50:37,616; INFO; pypromice.io.write; Written to L2_test/level_2/LYN_L/LYN_L_hour.nc
2025-11-14 09:50:37,616; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/LYN_L...

 ======== test l2tol3 ========= 

2025-11-14 09:50:37,655; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:50:37,739; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:50:37,743; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:50:37,747; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:50:37,769; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/LYN_L.csv
2025-11-14 09:50:37,786; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:50:37,786; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:50:38,041; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:50:38,082; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:50:38,090; INFO; pypromice.pipeline.L2toL3; No maintenance at LYN_L
2025-11-14 09:50:38,111; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:50:41,141; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:50:41,253; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:50:42,845; INFO; pypromice.io.write; Written to L3_test/stations/LYN_L/LYN_L_hour.csv
