ZAC_A

 ======== test get_l2 ========= 

2025-11-14 09:59:06,501; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/ZAC_A_300534062419950_1.txt
2025-11-14 09:59:06,533; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_A_300534062419950_1.txt
2025-11-14 09:59:06,548; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/ZAC_A_300534063817770_2.txt
2025-11-14 09:59:06,582; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_A_300534063817770_2.txt
2025-11-14 09:59:06,589; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:59:06,698; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:06,914; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:07,061; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:59:07,062; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv
2025-11-14 09:59:07,062; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv file to read.
2025-11-14 09:59:07,063; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/ZAC_A.csv
2025-11-14 09:59:07,097; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv
2025-11-14 09:59:07,097; INFO; pypromice.core.qc.github_data_issues; No ../PROMICE-AWS-data-issues/adjustments/ZAC_A.csv file to read.
2025-11-14 09:59:07,673; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:07,757; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:07,960; INFO; pypromice.io.write; Written to L2_test/tx/ZAC_A/ZAC_A_hour.csv
2025-11-14 09:59:07,960; INFO; pypromice.io.write; Written to L2_test/tx/ZAC_A/ZAC_A_hour.nc
2025-11-14 09:59:08,159; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_A/ZAC_A_2024_raw.txt
2025-11-14 09:59:08,253; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_A/ZAC_A_2024_raw.txt
2025-11-14 09:59:08,465; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_A_2024_raw.txt
