THU_U2

 ======== test get_l2 ========= 

2025-11-14 09:56:57,444; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2019_raw.txt
2025-11-14 09:56:57,477; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2019_raw.txt
2025-11-14 09:56:57,560; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2019_raw.txt
2025-11-14 09:56:57,566; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2019_raw2.txt
2025-11-14 09:56:57,687; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2019_raw2.txt
2025-11-14 09:56:57,914; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2019_raw2.txt
2025-11-14 09:56:57,922; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2022_raw.txt
2025-11-14 09:56:58,366; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2022_raw.txt
2025-11-14 09:56:59,398; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2022_raw.txt
2025-11-14 09:56:59,407; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/THU_U2/THU_U2_2023_raw_transmitted.txt
2025-11-14 09:56:59,435; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2023_raw_transmitted.txt
2025-11-14 09:56:59,441; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2024_raw.txt
2025-11-14 09:56:59,563; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_U2/THU_U2_2024_raw.txt
2025-11-14 09:56:59,847; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_U2_2024_raw.txt
2025-11-14 09:56:59,871; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:59,971; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:00,163; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,077; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,259; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:01,820; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:57:02,694; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:57:02,706; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_U2.csv
2025-11-14 09:57:02,719; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/THU_U2.csv
2025-11-14 09:57:02,779; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_U2.csv
2025-11-14 09:57:02,832; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:57:05,046; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:57:05,281; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:12,128; INFO; pypromice.io.write; Written to L2_test/raw/THU_U2/THU_U2_10min.csv
2025-11-14 09:57:12,129; INFO; pypromice.io.write; Written to L2_test/raw/THU_U2/THU_U2_10min.nc
2025-11-14 09:57:12,800; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:12,888; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:14,157; INFO; pypromice.io.write; Written to L2_test/raw/THU_U2/THU_U2_hour.csv
2025-11-14 09:57:14,157; INFO; pypromice.io.write; Written to L2_test/raw/THU_U2/THU_U2_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:57:14,298; INFO; pypromice.pipeline.join_l2; THU_U2 array loaded from L2_test/raw/THU_U2/THU_U2_hour.nc
2025-11-14 09:57:14,298; INFO; pypromice.pipeline.join_l2; Only one file found L2_test/raw/THU_U2/THU_U2_hour.nc...
2025-11-14 09:57:14,372; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:15,740; INFO; pypromice.io.write; Written to L2_test/level_2/THU_U2/THU_U2_hour.csv
2025-11-14 09:57:15,741; INFO; pypromice.io.write; Written to L2_test/level_2/THU_U2/THU_U2_hour.nc
2025-11-14 09:57:15,741; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/THU_U2...

 ======== test l2tol3 ========= 

2025-11-14 09:57:15,781; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:57:17,979; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:57:17,984; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:57:17,988; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:57:18,009; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_U2.csv
2025-11-14 09:57:18,026; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:57:18,026; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:57:18,238; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:57:18,278; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:57:18,284; INFO; pypromice.pipeline.L2toL3; No maintenance at THU_U2
2025-11-14 09:57:18,302; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:57:26,625; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:57:26,730; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:28,063; INFO; pypromice.io.write; Written to L3_test/stations/THU_U2/THU_U2_hour.csv
2025-11-14 09:57:28,063; INFO; pypromice.io.write; Written to L3_test/stations/THU_U2/THU_U2_hour.nc
2025-11-14 09:57:28,143; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:57:28,222; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:28,336; INFO; pypromice.io.write; Written to L3_test/stations/THU_U2/THU_U2_day.csv
2025-11-14 09:57:28,336; INFO; pypromice.io.write; Written to L3_test/stations/THU_U2/THU_U2_day.nc
2025-11-14 09:57:28,415; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:57:28,492; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:28,550; INFO; pypromice.io.write; Written to L3_test/stations/THU_U2/THU_U2_month.csv
2025-11-14 09:57:28,550; INFO; pypromice.io.write; Written to L3_test/stations/THU_U2/THU_U2_month.nc
