SWC_O

 ======== test get_l2 ========= 

2025-11-14 09:56:07,787; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/SWC_O_300534063816770_1.txt
2025-11-14 09:56:07,890; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SWC_O_300534063816770_1.txt
2025-11-14 09:56:07,891; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/SWC_O_300534063816770_2.txt
2025-11-14 09:56:07,919; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SWC_O_300534063816770_2.txt
2025-11-14 09:56:07,927; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:08,035; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:08,213; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:08,333; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:56:08,335; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC_O.csv
2025-11-14 09:56:08,339; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SWC_O.csv
2025-11-14 09:56:08,389; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC_O.csv
2025-11-14 09:56:08,396; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:56:08,397; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:56:08,397; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:56:08,925; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:09,039; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:09,711; INFO; pypromice.io.write; Written to L2_test/tx/SWC_O/SWC_O_hour.csv
2025-11-14 09:56:09,712; INFO; pypromice.io.write; Written to L2_test/tx/SWC_O/SWC_O_hour.nc
2025-11-14 09:56:10,027; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SWC_O/SWC_O_2023_raw.txt
2025-11-14 09:56:10,183; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SWC_O/SWC_O_2023_raw.txt
2025-11-14 09:56:10,402; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SWC_O_2023_raw.txt
2025-11-14 09:56:10,411; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SWC_O/SWC_O_2024_raw.txt
2025-11-14 09:56:10,530; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SWC_O/SWC_O_2024_raw.txt
2025-11-14 09:56:10,709; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SWC_O_2024_raw.txt
2025-11-14 09:56:10,714; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SWC_O/SWC_O_2025_DataTable10min.dat
2025-11-14 09:56:10,816; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SWC_O/SWC_O_2025_DataTable10min.dat
2025-11-14 09:56:11,021; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SWC_O_2025_DataTable10min.dat
2025-11-14 09:56:11,040; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:11,132; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:11,311; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:11,502; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:11,810; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:56:11,816; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC_O.csv
2025-11-14 09:56:11,827; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SWC_O.csv
2025-11-14 09:56:11,893; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC_O.csv
2025-11-14 09:56:11,902; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:56:11,904; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:56:11,904; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:56:13,682; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:56:13,887; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:17,984; INFO; pypromice.io.write; Written to L2_test/raw/SWC_O/SWC_O_10min.csv
2025-11-14 09:56:17,985; INFO; pypromice.io.write; Written to L2_test/raw/SWC_O/SWC_O_10min.nc
2025-11-14 09:56:18,538; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:18,652; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:19,566; INFO; pypromice.io.write; Written to L2_test/raw/SWC_O/SWC_O_hour.csv
2025-11-14 09:56:19,567; INFO; pypromice.io.write; Written to L2_test/raw/SWC_O/SWC_O_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:56:19,723; INFO; pypromice.pipeline.join_l2; SWC_O array loaded from L2_test/raw/SWC_O/SWC_O_hour.nc
2025-11-14 09:56:19,760; INFO; pypromice.pipeline.join_l2; SWC_O array loaded from L2_test/tx/SWC_O/SWC_O_hour.nc
2025-11-14 09:56:19,760; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/SWC_O/SWC_O_hour.nc with L2_test/tx/SWC_O/SWC_O_hour.nc...
2025-11-14 09:56:19,885; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:20,846; INFO; pypromice.io.write; Written to L2_test/level_2/SWC_O/SWC_O_hour.csv
2025-11-14 09:56:20,846; INFO; pypromice.io.write; Written to L2_test/level_2/SWC_O/SWC_O_hour.nc
2025-11-14 09:56:20,846; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/SWC_O...

 ======== test l2tol3 ========= 

2025-11-14 09:56:20,885; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:56:22,821; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2025-11-14 09:56:22,825; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2025-11-14 09:56:22,829; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2025-11-14 09:56:22,851; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SWC_O.csv
2025-11-14 09:56:22,867; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:56:22,867; INFO; pypromice.pipeline.L2toL3; -> ablation site
2025-11-14 09:56:23,039; INFO; pypromice.pipeline.L2toL3; surface height combination finished
2025-11-14 09:56:23,068; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:56:23,101; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:56:24,381; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:24,481; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:25,388; INFO; pypromice.io.write; Written to L3_test/stations/SWC_O/SWC_O_hour.csv
2025-11-14 09:56:25,388; INFO; pypromice.io.write; Written to L3_test/stations/SWC_O/SWC_O_hour.nc
2025-11-14 09:56:25,460; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:56:25,541; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:25,631; INFO; pypromice.io.write; Written to L3_test/stations/SWC_O/SWC_O_day.csv
2025-11-14 09:56:25,631; INFO; pypromice.io.write; Written to L3_test/stations/SWC_O/SWC_O_day.nc
2025-11-14 09:56:25,696; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:56:25,778; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:25,846; INFO; pypromice.io.write; Written to L3_test/stations/SWC_O/SWC_O_month.csv
2025-11-14 09:56:25,847; INFO; pypromice.io.write; Written to L3_test/stations/SWC_O/SWC_O_month.nc
