SDL

 ======== test get_l2 ========= 

2025-11-14 09:55:01,607; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/SDL_300534063815680_1.txt
2025-11-14 09:55:01,753; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SDL_300534063815680_1.txt
2025-11-14 09:55:01,760; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:55:01,926; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:55:02,098; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:55:02,099; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SDL.csv
2025-11-14 09:55:02,102; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SDL.csv
2025-11-14 09:55:02,136; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SDL.csv
2025-11-14 09:55:02,168; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:55:02,168; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:55:02,962; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:55:03,071; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:03,783; INFO; pypromice.io.write; Written to L2_test/tx/SDL/SDL_hour.csv
2025-11-14 09:55:03,783; INFO; pypromice.io.write; Written to L2_test/tx/SDL/SDL_hour.nc
2025-11-14 09:55:03,990; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SDL/SDL_2022_raw_corrected.txt
2025-11-14 09:55:04,099; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SDL/SDL_2022_raw_corrected.txt
2025-11-14 09:55:04,383; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SDL_2022_raw_corrected.txt
2025-11-14 09:55:05,203; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SDL/SDL_2023_raw.txt
2025-11-14 09:55:05,236; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SDL/SDL_2023_raw.txt
2025-11-14 09:55:05,330; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SDL_2023_raw.txt
2025-11-14 09:55:05,337; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SDL/SDL_2024_raw.txt
2025-11-14 09:55:05,448; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SDL/SDL_2024_raw.txt
2025-11-14 09:55:05,685; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SDL_2024_raw.txt
2025-11-14 09:55:05,690; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SDL/SDL_2025_raw.txt
2025-11-14 09:55:05,793; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SDL/SDL_2025_raw.txt
2025-11-14 09:55:06,043; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SDL_2025_raw.txt
2025-11-14 09:55:06,062; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:55:06,165; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:55:06,360; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:55:06,574; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:55:06,786; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:55:07,235; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:55:07,242; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SDL.csv
2025-11-14 09:55:07,251; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/SDL.csv
2025-11-14 09:55:07,287; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SDL.csv
2025-11-14 09:55:07,321; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:55:07,321; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:55:09,129; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:55:09,336; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:13,940; INFO; pypromice.io.write; Written to L2_test/raw/SDL/SDL_10min.csv
2025-11-14 09:55:13,940; INFO; pypromice.io.write; Written to L2_test/raw/SDL/SDL_10min.nc
2025-11-14 09:55:14,444; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:55:14,534; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:15,429; INFO; pypromice.io.write; Written to L2_test/raw/SDL/SDL_hour.csv
2025-11-14 09:55:15,429; INFO; pypromice.io.write; Written to L2_test/raw/SDL/SDL_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:55:15,566; INFO; pypromice.pipeline.join_l2; SDL array loaded from L2_test/raw/SDL/SDL_hour.nc
2025-11-14 09:55:15,600; INFO; pypromice.pipeline.join_l2; SDL array loaded from L2_test/tx/SDL/SDL_hour.nc
2025-11-14 09:55:15,600; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/SDL/SDL_hour.nc with L2_test/tx/SDL/SDL_hour.nc...
2025-11-14 09:55:15,733; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:16,753; INFO; pypromice.io.write; Written to L2_test/level_2/SDL/SDL_hour.csv
2025-11-14 09:55:16,753; INFO; pypromice.io.write; Written to L2_test/level_2/SDL/SDL_hour.nc
2025-11-14 09:55:16,753; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/SDL...

 ======== test l2tol3 ========= 

2025-11-14 09:55:16,796; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2025-11-14 09:55:20,548; INFO; pypromice.pipeline.L2toL3; processing gps_lat with relocation on 2023-06-16T01:00:00
2025-11-14 09:55:20,555; INFO; pypromice.pipeline.L2toL3; processing gps_lon with relocation on 2023-06-16T01:00:00
2025-11-14 09:55:20,560; INFO; pypromice.pipeline.L2toL3; processing gps_alt with relocation on 2023-06-16T01:00:00
2025-11-14 09:55:20,583; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/SDL.csv
2025-11-14 09:55:20,607; INFO; pypromice.pipeline.L2toL3; Combining surface height
2025-11-14 09:55:20,607; INFO; pypromice.pipeline.L2toL3; -> did not find z_ice_surf
2025-11-14 09:55:20,607; INFO; pypromice.pipeline.L2toL3; -> no z_pt or accumulation site: averaging z_surf_1 and z_surf_2
2025-11-14 09:55:20,666; INFO; pypromice.pipeline.L2toL3; Calculating thermistor depth
2025-11-14 09:55:20,719; INFO; pypromice.pipeline.L2toL3; interpolating 10 m firn/ice temperature (on hourly values)
2025-11-14 09:55:25,876; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:55:26,005; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:27,335; INFO; pypromice.io.write; Written to L3_test/stations/SDL/SDL_hour.csv
2025-11-14 09:55:27,335; INFO; pypromice.io.write; Written to L3_test/stations/SDL/SDL_hour.nc
2025-11-14 09:55:27,435; INFO; pypromice.io.write; Resampling to 1D
2025-11-14 09:55:27,540; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:27,662; INFO; pypromice.io.write; Written to L3_test/stations/SDL/SDL_day.csv
2025-11-14 09:55:27,662; INFO; pypromice.io.write; Written to L3_test/stations/SDL/SDL_day.nc
2025-11-14 09:55:27,785; INFO; pypromice.io.write; Resampling to MS
2025-11-14 09:55:27,888; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:55:27,955; INFO; pypromice.io.write; Written to L3_test/stations/SDL/SDL_month.csv
2025-11-14 09:55:27,955; INFO; pypromice.io.write; Written to L3_test/stations/SDL/SDL_month.nc
