QAS_A

 ======== test get_l2 ========= 

2025-11-14 09:52:35,107; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_A/QAS_A_2013_raw.txt
2025-11-14 09:52:35,119; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_A/QAS_A_2013_raw.txt
2025-11-14 09:52:35,169; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_A_2013_raw.txt
2025-11-14 09:52:35,175; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_A/QAS_A_2014_raw.txt
2025-11-14 09:52:35,326; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_A/QAS_A_2014_raw.txt
2025-11-14 09:52:35,647; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_A_2014_raw.txt
2025-11-14 09:52:35,962; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_A/QAS_A_2015_raw_SlimTableMem.txt
2025-11-14 09:52:35,977; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_A/QAS_A_2015_raw_SlimTableMem.txt
2025-11-14 09:52:36,015; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_A_2015_raw_SlimTableMem.txt
2025-11-14 09:52:36,028; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:52:36,127; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:36,531; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:36,750; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:36,942; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:52:36,945; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_A.csv
2025-11-14 09:52:36,949; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/QAS_A.csv
2025-11-14 09:52:36,975; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_A.csv
2025-11-14 09:52:37,794; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:52:37,929; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:39,255; INFO; pypromice.io.write; Written to L2_test/raw/QAS_A/QAS_A_10min.csv
2025-11-14 09:52:39,255; INFO; pypromice.io.write; Written to L2_test/raw/QAS_A/QAS_A_10min.nc
