THU_L2

 ======== test get_l2 ========= 

2025-11-14 09:56:57,276; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/THU_L2_300234065158630_1.txt
2025-11-14 09:56:57,334; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L2_300234065158630_1.txt
2025-11-14 09:56:57,341; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:57,499; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:57,640; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:56:57,641; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L2.csv
2025-11-14 09:56:57,644; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/THU_L2.csv
2025-11-14 09:56:57,652; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L2.csv
2025-11-14 09:56:57,682; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:56:57,684; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:56:57,685; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:56:58,758; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:58,820; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:56:59,129; INFO; pypromice.io.write; Written to L2_test/tx/THU_L2/THU_L2_hour.csv
2025-11-14 09:56:59,129; INFO; pypromice.io.write; Written to L2_test/tx/THU_L2/THU_L2_hour.nc
2025-11-14 09:56:59,354; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/THU_L2/THU_L2_2024_raw_transmitted.txt
2025-11-14 09:56:59,411; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L2_2024_raw_transmitted.txt
2025-11-14 09:57:00,163; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L2/THU_L2_2024_SlimTableMem.txt
