ZAC_Uv3

 ======== test get_l2 ========= 

2025-11-14 09:59:06,518; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/ZAC_Uv3_300234068329190_1.txt
2025-11-14 09:59:06,613; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_Uv3_300234068329190_1.txt
2025-11-14 09:59:06,618; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:59:06,761; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:06,883; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:59:06,885; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Uv3.csv
2025-11-14 09:59:06,889; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/ZAC_Uv3.csv
2025-11-14 09:59:06,905; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Uv3.csv
2025-11-14 09:59:06,914; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:59:07,508; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:07,587; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:08,138; INFO; pypromice.io.write; Written to L2_test/tx/ZAC_Uv3/ZAC_Uv3_hour.csv
2025-11-14 09:59:08,138; INFO; pypromice.io.write; Written to L2_test/tx/ZAC_Uv3/ZAC_Uv3_hour.nc
2025-11-14 09:59:09,012; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_Uv3/ZAC_Uv3_2025_raw.dat
2025-11-14 09:59:09,042; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_Uv3/ZAC_Uv3_2025_raw.dat
2025-11-14 09:59:09,109; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_Uv3_2025_raw.dat
2025-11-14 09:59:09,114; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:59:09,188; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:09,279; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:59:09,281; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Uv3.csv
2025-11-14 09:59:09,285; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/ZAC_Uv3.csv
2025-11-14 09:59:09,295; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Uv3.csv
2025-11-14 09:59:09,304; INFO; pypromice.core.qc.github_data_issues; ---> None 2023-07-01 00:00:00 z_boom_cor_u min_filter 1.5
2025-11-14 09:59:09,304; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:59:09,304; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:59:09,717; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:59:09,781; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:10,208; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_Uv3/ZAC_Uv3_10min.csv
2025-11-14 09:59:10,209; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_Uv3/ZAC_Uv3_10min.nc
2025-11-14 09:59:10,338; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:10,397; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:10,538; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_Uv3/ZAC_Uv3_hour.csv
2025-11-14 09:59:10,538; INFO; pypromice.io.write; Written to L2_test/raw/ZAC_Uv3/ZAC_Uv3_hour.nc

 ======== test join_l2 ========= 

2025-11-14 09:59:10,663; INFO; pypromice.pipeline.join_l2; ZAC_Uv3 array loaded from L2_test/raw/ZAC_Uv3/ZAC_Uv3_hour.nc
2025-11-14 09:59:10,697; INFO; pypromice.pipeline.join_l2; ZAC_Uv3 array loaded from L2_test/tx/ZAC_Uv3/ZAC_Uv3_hour.nc
2025-11-14 09:59:10,698; INFO; pypromice.pipeline.join_l2; Combining L2_test/raw/ZAC_Uv3/ZAC_Uv3_hour.nc with L2_test/tx/ZAC_Uv3/ZAC_Uv3_hour.nc...
2025-11-14 09:59:10,808; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:11,388; INFO; pypromice.io.write; Written to L2_test/level_2/ZAC_Uv3/ZAC_Uv3_hour.csv
2025-11-14 09:59:11,388; INFO; pypromice.io.write; Written to L2_test/level_2/ZAC_Uv3/ZAC_Uv3_hour.nc
2025-11-14 09:59:11,389; INFO; pypromice.pipeline.join_l2; Files saved to L2_test/level_2/ZAC_Uv3...

 ======== test l2tol3 ========= 

2025-11-14 09:59:11,427; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
