JAR

 ======== test get_l2 ========= 

2025-11-14 09:47:12,802; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/JAR_300534060520350_1.txt
2025-11-14 09:47:12,912; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from JAR_300534060520350_1.txt
2025-11-14 09:47:12,922; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:13,124; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:47:13,237; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:47:13,238; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR.csv
2025-11-14 09:47:13,246; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/JAR.csv
2025-11-14 09:47:13,264; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/JAR.csv
2025-11-14 09:47:13,283; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:47:13,283; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:47:13,791; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:47:13,861; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:47:14,143; INFO; pypromice.io.write; Written to L2_test/tx/JAR/JAR_hour.csv
2025-11-14 09:47:14,143; INFO; pypromice.io.write; Written to L2_test/tx/JAR/JAR_hour.nc
2025-11-14 09:47:14,689; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/JAR/JAR_2022_raw.dat
2025-11-14 09:47:14,700; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/JAR/JAR_2022_raw.dat
2025-11-14 09:47:14,729; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from JAR_2022_raw.dat
2025-11-14 09:47:14,735; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:47:14,797; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
