FRE

 ======== test get_l2 ========= 

2025-11-14 09:46:20,395; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/FRE_300234061852400_1.txt
2025-11-14 09:46:20,476; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from FRE_300234061852400_1.txt
2025-11-14 09:46:20,485; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:46:20,841; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:46:21,011; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:46:21,013; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/FRE.csv
2025-11-14 09:46:21,017; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/FRE.csv
2025-11-14 09:46:21,042; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/FRE.csv
2025-11-14 09:46:21,056; INFO; pypromice.core.qc.github_data_issues; ---> 2022-09-09 12:00:00 2022-09-25 12:00:00 z_boom_cor_u max_filter 2.955
2025-11-14 09:46:21,056; INFO; pypromice.core.qc.github_data_issues; Time range does not intersect with dataset
2025-11-14 09:46:21,059; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_1 not in dataset
2025-11-14 09:46:21,059; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:46:22,916; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:46:22,983; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:46:23,455; INFO; pypromice.io.write; Written to L2_test/tx/FRE/FRE_hour.csv
2025-11-14 09:46:23,456; INFO; pypromice.io.write; Written to L2_test/tx/FRE/FRE_hour.nc
2025-11-14 09:46:23,655; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2017_raw.txt
2025-11-14 09:46:23,816; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2017_raw.txt
2025-11-14 09:46:24,053; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from FRE_2017_raw.txt
2025-11-14 09:46:24,060; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2019_raw.txt
2025-11-14 09:46:24,387; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2019_raw.txt
2025-11-14 09:46:24,943; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from FRE_2019_raw.txt
2025-11-14 09:46:24,959; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2021_raw.txt
2025-11-14 09:46:25,333; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2021_raw.txt
2025-11-14 09:46:26,028; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from FRE_2021_raw.txt
2025-11-14 09:46:26,037; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2023_raw.txt
2025-11-14 09:46:26,210; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/FRE/FRE_2023_raw.txt
