THU_L

 ======== test get_l2 ========= 

2025-11-14 09:56:57,217; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/THU_L_300234065153530_1.txt
2025-11-14 09:56:57,323; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_300234065153530_1.txt
2025-11-14 09:56:57,330; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:56:57,541; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:56:57,721; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:56:57,723; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L.csv
2025-11-14 09:56:57,727; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/THU_L.csv
2025-11-14 09:56:57,747; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/THU_L.csv
2025-11-14 09:56:57,782; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:56:57,782; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:56:59,875; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:56:59,953; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:57:00,639; INFO; pypromice.io.write; Written to L2_test/tx/THU_L/THU_L_hour.csv
2025-11-14 09:57:00,639; INFO; pypromice.io.write; Written to L2_test/tx/THU_L/THU_L_hour.nc
2025-11-14 09:57:01,572; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2011_raw.txt
2025-11-14 09:57:01,620; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2011_raw.txt
2025-11-14 09:57:01,719; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2011_raw.txt
2025-11-14 09:57:01,726; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2012_raw_modlots.csv
2025-11-14 09:57:01,841; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2012_raw_modlots.csv
2025-11-14 09:57:02,059; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2012_raw_modlots.csv
2025-11-14 09:57:02,065; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2013_raw_modlots.csv
2025-11-14 09:57:02,187; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2013_raw_modlots.csv
2025-11-14 09:57:02,430; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2013_raw_modlots.csv
2025-11-14 09:57:02,438; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2014_raw.txt
2025-11-14 09:57:02,589; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2014_raw.txt
2025-11-14 09:57:02,893; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2014_raw.txt
2025-11-14 09:57:02,900; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2016_raw.txt
2025-11-14 09:57:03,165; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2016_raw.txt
2025-11-14 09:57:03,922; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2016_raw.txt
2025-11-14 09:57:03,932; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2017_raw.txt
2025-11-14 09:57:04,111; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2017_raw.txt
2025-11-14 09:57:04,681; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2017_raw.txt
2025-11-14 09:57:05,205; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2018_raw_SlimTableMem.txt
2025-11-14 09:57:05,226; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2018_raw_SlimTableMem.txt
2025-11-14 09:57:05,292; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from THU_L_2018_raw_SlimTableMem.txt
2025-11-14 09:57:05,300; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/THU_L/THU_L_2019_raw.txt
