ZAC_Lv3

 ======== test get_l2 ========= 

2025-11-14 09:59:06,228; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/ZAC_Lv3_300534060520430_1.txt
2025-11-14 09:59:06,325; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_Lv3_300534060520430_1.txt
2025-11-14 09:59:06,329; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:59:06,437; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:59:06,531; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:59:06,532; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Lv3.csv
2025-11-14 09:59:06,535; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/ZAC_Lv3.csv
2025-11-14 09:59:06,546; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/ZAC_Lv3.csv
2025-11-14 09:59:06,553; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:59:06,556; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:59:07,101; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:59:07,175; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:59:07,883; INFO; pypromice.io.write; Written to L2_test/tx/ZAC_Lv3/ZAC_Lv3_hour.csv
2025-11-14 09:59:07,883; INFO; pypromice.io.write; Written to L2_test/tx/ZAC_Lv3/ZAC_Lv3_hour.nc
2025-11-14 09:59:08,082; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_Lv3/ZAC_Lv3_2024_raw.txt
2025-11-14 09:59:08,083; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/ZAC_Lv3/ZAC_Lv3_2024_raw.txt
2025-11-14 09:59:08,096; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from ZAC_Lv3_2024_raw.txt
