QAS_Mv3

 ======== test get_l2 ========= 

2025-11-14 09:53:43,104; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/QAS_Mv3_300534063811790_1.txt
2025-11-14 09:53:43,144; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_Mv3_300534063811790_1.txt
2025-11-14 09:53:43,149; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:53:43,269; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:53:43,383; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:53:43,385; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_Mv3.csv
2025-11-14 09:53:43,388; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/QAS_Mv3.csv
2025-11-14 09:53:43,413; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/QAS_Mv3.csv
2025-11-14 09:53:43,439; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:53:44,005; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:53:44,076; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:53:44,284; INFO; pypromice.io.write; Written to L2_test/tx/QAS_Mv3/QAS_Mv3_hour.csv
2025-11-14 09:53:44,284; INFO; pypromice.io.write; Written to L2_test/tx/QAS_Mv3/QAS_Mv3_hour.nc
2025-11-14 09:53:44,836; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_Mv3/QAS_Mv3_2024_STM.txt
2025-11-14 09:53:44,858; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_Mv3/QAS_Mv3_2024_STM.txt
2025-11-14 09:53:44,914; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from QAS_Mv3_2024_STM.txt
2025-11-14 09:53:44,918; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_Mv3/QAS_Mv3_2025_DataTable10min.dat
2025-11-14 09:53:45,021; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/QAS_Mv3/QAS_Mv3_2025_DataTable10min.dat
