NUK_Uv3

 ======== test get_l2 ========= 

2025-11-14 09:52:35,388; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300234068420030_1.txt
2025-11-14 09:52:35,461; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300234068420030_1.txt
2025-11-14 09:52:35,588; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300234068420030_1.txt
2025-11-14 09:52:35,600; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300234068420030_2.txt
2025-11-14 09:52:35,670; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300234068420030_2.txt
2025-11-14 09:52:35,681; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300534062923450_3.txt
2025-11-14 09:52:35,707; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300534062923450_3.txt
2025-11-14 09:52:35,718; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300534063817730_4.txt
2025-11-14 09:52:35,740; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300534063817730_4.txt
2025-11-14 09:52:35,740; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/tx/NUK_Uv3_300534063817730_5.txt
2025-11-14 09:52:35,781; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_300534063817730_5.txt
2025-11-14 09:52:35,805; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:52:35,944; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:36,112; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:36,266; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:36,416; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:36,569; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:36,742; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:52:36,744; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_Uv3.csv
2025-11-14 09:52:36,748; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NUK_Uv3.csv
2025-11-14 09:52:36,782; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_Uv3.csv
2025-11-14 09:52:36,806; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:52:36,806; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:52:37,423; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:52:37,511; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:38,365; INFO; pypromice.io.write; Written to L2_test/tx/NUK_Uv3/NUK_Uv3_hour.csv
2025-11-14 09:52:38,366; INFO; pypromice.io.write; Written to L2_test/tx/NUK_Uv3/NUK_Uv3_hour.nc
2025-11-14 09:52:39,051; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_Uv3/NUK_Uv3_2021_raw.txt
2025-11-14 09:52:39,072; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_Uv3/NUK_Uv3_2021_raw.txt
2025-11-14 09:52:39,144; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_2021_raw.txt
2025-11-14 09:52:40,042; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_Uv3/NUK_Uv3_2022_raw.txt
2025-11-14 09:52:40,102; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_Uv3/NUK_Uv3_2022_raw.txt
2025-11-14 09:52:40,255; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_2022_raw.txt
2025-11-14 09:52:40,261; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_Uv3/NUK_Uv3_2025_raw.txt
2025-11-14 09:52:40,437; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/NUK_Uv3/NUK_Uv3_2025_raw.txt
2025-11-14 09:52:40,868; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from NUK_Uv3_2025_raw.txt
2025-11-14 09:52:40,885; INFO; pypromice.pipeline.aws; Level 1 processing...
2025-11-14 09:52:41,004; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:41,258; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:41,519; WARNING; pypromice.pipeline.L0toL1; bedrock attribute is not set
2025-11-14 09:52:41,899; INFO; pypromice.pipeline.aws; Level 2 processing...
2025-11-14 09:52:41,905; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_Uv3.csv
2025-11-14 09:52:41,913; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/NUK_Uv3.csv
2025-11-14 09:52:41,969; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/NUK_Uv3.csv
2025-11-14 09:52:41,998; INFO; pypromice.core.qc.github_data_issues; could not adjust z_ice_surf not in dataset
2025-11-14 09:52:41,998; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2025-11-14 09:52:43,245; INFO; pypromice.io.write; Resampling to 10min
2025-11-14 09:52:43,423; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:46,651; INFO; pypromice.io.write; Written to L2_test/raw/NUK_Uv3/NUK_Uv3_10min.csv
2025-11-14 09:52:46,651; INFO; pypromice.io.write; Written to L2_test/raw/NUK_Uv3/NUK_Uv3_10min.nc
2025-11-14 09:52:47,071; INFO; pypromice.io.write; Resampling to 60min
2025-11-14 09:52:47,147; INFO; pypromice.io.write; Writing to files...
2025-11-14 09:52:47,835; INFO; pypromice.io.write; Written to L2_test/raw/NUK_Uv3/NUK_Uv3_hour.csv
2025-11-14 09:52:47,835; INFO; pypromice.io.write; Written to L2_test/raw/NUK_Uv3/NUK_Uv3_hour.nc

 ======== test join_l2 ========= 

